city,state,country,name,parent_id,unique_id,directions,lat,lon,description,date_created,activities/0/name,activities/0/unique_id,activities/0/place_id,activities/0/activity_type_id,activities/0/activity_type_name,activities/0/url,"activities/0/attribs/""length""","activities/0/attribs/""nightride""",activities/0/description,activities/0/length,activities/0/activity_type/created_at,activities/0/activity_type/id,activities/0/activity_type/name,activities/0/activity_type/updated_at,activities/0/thumbnail,activities/0/rank,activities/0/rating,activities/1/name,activities/1/unique_id,activities/1/place_id,activities/1/activity_type_id,activities/1/activity_type_name,activities/1/url,"activities/1/attribs/""length""",activities/1/description,activities/1/length,activities/1/activity_type/created_at,activities/1/activity_type/id,activities/1/activity_type/name,activities/1/activity_type/updated_at,activities/1/thumbnail,activities/1/rank,activities/1/rating,activities/0/attribs/null,"activities/0/attribs/""type""",activities/2/name,activities/2/unique_id,activities/2/place_id,activities/2/activity_type_id,activities/2/activity_type_name,activities/2/url,"activities/2/attribs/""type""",activities/2/description,activities/2/length,activities/2/activity_type/created_at,activities/2/activity_type/id,activities/2/activity_type/name,activities/2/activity_type/updated_at,activities/2/thumbnail,activities/2/rank,activities/2/rating
Heavener,Oklahoma,United States,Cedar Lake Equestrian (NRA),,7167,"Take U.S. 270-59 south from Heavener, OK for 10 miles; turn right (west) on Holson Valley Road for 3 miles; then right (north) on Forest Service Road 7269 for 1 mile.",0,0,,,Cedar Lake Equestrian (NRA),3-773,7167,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=773,"""3""",,Beautiful equestrian campground located in a forested setting. Both open-area and individual site camping are available. Over 80 miles of loop trails begin at the campground and traverse through the Ouachita Mountains.,3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordova,Alaska,United States,Softuk Bar Cabin,,12410,"Access to the cabin is by wheel plane only at low tide, typically a 25-minute flight from Cordova.  Click here  for local tide tables. Refer to USGS topographic map Cordova A-2.",60.204167,-144.640556,,,Softuk Bar Cabin,3-6827,12410,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=6827,"""3""",,"Softuk Bar Cabin offers recreation, relaxation and a unique lodging experience in the Chugach National Forest. Located 45 miles southeast of Cordova on the Gulf of Alaska, the remote site offers a scenic setting for hunting, birding, clamming, berry picking, beachcombing and wildlife viewing.    Access to the cabin is by wheel plane on the beach at low tide only, typically a 25-minute flight from Cordova. Visitors are responsible for their own travel arrangements and safety, and must bring several of their own amenities.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/06/6827-1307336883-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waynoka,Oklahoma,United States,Little Sahara State Park,,18674,4 miles S on Hwy 281,36.531906,-98.878563,"A prime example of Oklahoma's diverse terrain, Little Sahara State Park boasts over 1,600 acres of sand dunes, ranging in height from 25 to 75 feet. The vast dunes have formed over time from terrace deposits, remnants of prehistoric times when the Cimarron River flowed over the entire area. Located south of Waynoka in northwest Oklahoma, the park offers amenities such as RV sites with water and electricity, tent sites, picnic areas and showers. Concessions are offered in the park seasonally, and groceries and fuel are available nearby.",,Little Sahara State Park,3-8811,18674,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=8811,"""3""",,"A prime example of Oklahoma's diverse terrain, Little Sahara State Park boasts over 1,600 acres of sand dunes, ranging in height from 25 to 75 feet. The vast dunes have formed over time from terrace deposits, remnants of prehistoric times when the Cimarron River flowed over the entire area. Located south of Waynoka in northwest Oklahoma, the park offers amenities such as RV sites with water and electricity, tent sites, picnic areas and showers. Concessions are offered in the park seasonally, and groceries and fuel are available nearby.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akron,New York,United States,Akron Caves,,24543,,0,0,,,Akron Caves,4-222,24543,7,caving,http://www.tripleblaze.com/trail.php?c=251&i=222,,,Old potatoes mines,0,2012-08-15T17:32:53Z,7,caving,2012-08-15T17:32:53Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham,Washington,United States,Larrabee State Park,,9163,"From I-5 soutbound:&lt;br /&gt;&lt;br /&gt;Take exit #250, and turn right onto Fairhaven Pkwy. Go to second stoplight. Turn left on SR 11/Chuckanut Dr. Stay left at next stoplight, and drive six miles to park entrance.&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;From I-5 northbound:&lt;br /&gt;&lt;br /&gt;Take exit #231. Turn right onto SR 11/Chuckanut Dr., and drive north 14 miles to park entrance.&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;NOTE: Chuckanut Dr. (SR 11) is a narrow, winding road. Large RVs should go to I-5, exit #250 for easiest access to the park.&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;Alternate route for large RVs or vehicles towing trailers:&lt;br /&gt;&lt;br /&gt;Stay on northbound I-5 to Bellingham, then take exit #250 and turn left onto Fairhaven Pkwy. Go to second stoplight and turn left onto SR 11/Chuckanut Dr. Stay left at next stoplight and go six miles to park entrance.",0,0,,,Larrabee State Park,3-3574,9163,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=3574,"""3""",,Decent campground close to galbraith,3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisp,Washington,United States,Twisp River Trail #440,,27395,"From Twisp drive west on Okanogan County Road 9114. In about 10 miles the county road becomes Forest Service Road 44 (Forest Service Road 43 takes off to the left at that point). Continue on Forest Service Road 44 to Mystery Campground junction, when Forest Service Road 44 becomes Forest Service Road 4440. Continue on Forest Service Road 4440 to the trailhead.",48.3752,-120.40755,,,Twisp River Trail #440,1-9841,27395,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=9841,"""8""",null,"The best early season trail for mountain biking, horseback riding, and hiking. Crossings at Scatter and Slate creeks may become difficult in the spring due to high water. Generally up and down route is along hillside above the Twisp River. Highlights: Occasional views. A good day trip for a family outing. source: fs.usda.gov",8,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,Texas,United States,Cedar Breaks Park,,9567,"From I-35, take Farm to Market Road 2338 west for 3.5 miles to D.B. Wood Road. Turn left and continue for 2.5 miles. Turn right onto Cedar Breaks Road and follow signs to the park.",30.681667,-97.733056,,,Cedar Breaks Park,3-3981,9567,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=3981,"""3""",,"Cedar Breaks Park sits on the south side of Georgetown Lake in the Hill Country of Texas, about 25 miles north of Austin.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wise River,Montana,United States,Dry Creek Loop,,2336,From Wise River take MT43 west to the junction with MT274.  Take MT274 north to FS934 (Lower Seymore Rd).  Take FS934 approx. 100 yd to a wide area and park.,45.92895,-113.10142,,,Dry Creek Loop,1-4050,2336,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=4050,"""24""",null,"The loop follows MT274 to the north for about .5 mi, then joins a segment of the Continental Divide Trail through the Mt. Haggin WMA to the Dry Creek Rd.  The loop then follows the Dry Creek Rd southwest back to FS934, and follows FS934 back to the parking spot.  The entire loop passes through spectacular scenery with the Pintlar Range in the background on the west and the French Creek/Deep Creek drainage below to the east.  The entire loop has very little traffic except during hunting season.",24,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2014/06/image79034.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevard,North Carolina,United States,Davidson River,,8636,"From Brevard take US 64E to US 276, turn left. Follow US 276 for 1.5 miles. Open year round.",35.280833,-82.7225,,,Davidson River,3-2710,8636,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=2710,"""3""",,Interpretive programs May 28 - Oct. 3.,3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/06/DSC05828-0.jpg,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heber Springs,,UNITED STATES,John F Kennedy (ar),,13460,"From Heber Springs, AR, take SR-25 north 4 miles, cross the dam, and turn right on the second road.",35.520833,-91.993056,,,John F Kennedy,3-7879,13460,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=7879,"""3""",,"John F. Kennedy Campground is located on the Little Red River just downstream of Greers Ferry Dam in the beautiful Ozark Mountains of north-central Arkansas.     In his last major appearance before his death, President John F. Kennedy stood on a flag-draped platform overlooking the just-completed Greers Ferry Dam and spoke of the prosperity the lake would bring to the region.    Today, a million visitors flock yearly to the scenic waters for family camping, fishing, boating and hiking.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Glacier,Montana,United States,McGee Meadow Loop,,14131,,48.521119,-113.988685,,,McGee Meadow Loop,6-1097,14131,9,snow sports,http://www.snowtoit.com/trail.php?c=73&i=1097,,,Head out on the snow-covered road and make for Fish Creek Campground and then the McGee Meadow Trail. This is an 11.5 mile round trip. Please see the link to Glacier National Park's website for more specific route directions.,0,2012-08-15T17:33:19Z,9,snow sports,2012-08-15T17:33:19Z,http://images.snowtoit.com/2011/07/apgar-4.jpg,,0,,,,,,,,,,,,,,,,,,"""Backcountry \/ Primative""",,,,,,,,,,,,,,,,
Santa Cruz,California,United States,Big Basin Redwoods SP,,6837,,37.185278,-122.228611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparta,Tennessee,United States,Ragland Bottom,,13140,"From Smithville, Tennessee, take US-70 east for 8 miles. Turn on Ragland Bottom Road and follow signs to the campground, located one mile from Sligo Bridge.",35.9774,-85.720867,,,Ragland Bottom,3-7557,13140,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=7557,"""3""",,"Ragland Bottom Campground is located on the shores of the scenic Center Hill Lake on central Tennessee&amp;amp;#39;s Highland Rim.       The lake stretches 64 miles up the Caney Fork River, where visitors come to enjoy boating, fishing and water sports. The 415 miles of forested shoreline provide excellent hiking, hunting and camping opportunities.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/06/7557-1309463184-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrisville,North Carolina,United States,Lake Johnson,,2396,"&quot;This trail is less than 3 miles from NC State, down Avent Ferry Road. from NC State you will go through approximately 4 stoplights. The first will be at the intersection of Western Blvd, the second will be at Centennial Campus, the third will be at Gorman Street, and the last light just blinks. After you pass the blinking lights it is less than a half mile to the lake, where the road will continue to cross the lake. You can park before you cross the bridge, and take the asphalt path around the lake. You will come to a bridge, that crosses a spillway. Cross the bridge and the trail starts immediatly to your right. If you are coming from I-40, get off at Gorman Street and head towards NC State. When you get to the light you will be at the intersection of Gorman and Avent Ferry; turn left. Use the rest of the directions from above. If you want to ride the other side of the lake, you can cross the bridge on the road, and there is a turnoff on the right side of the road, the trail starts here.",35.76286,-78.71459,,,Lake Johnson,1-642,2396,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=642,"""2""",null,"This is another trail that rides around the perimeter of a lake. This trail is only about roots, roots, and more roots. This trail can be rough on you back, wrists, etc. This trail, which is mostly singletrack, is a good trail to beat up yourself on. I first hated this trail but have come to like it seeing as how I am in such close proximity to it. Give it a try, you may be suprised. The other side of the trail across the bridge is now open again, and is is in better shape than the rootier (is that a word?!?) trail. This side of the lake, is not as rooty. Elevation change includes short uphills and descents.. Length is 1-2 miles.. This trail is not that tough, if you avoid the roots by riding the side of the trail. There are a few log crossings for the brave of heart (wait till you see them) and a few that I can cross (in other words, up to one foot-don't laugh). There is already erosion so its good not to ride this trail in the rain.  Kent has marked off a new trail at Lake Johnson. You can get there by staying on the paved path starting at the hilly side of the lake. Follow the paved path through the two large hills and start looking to the right as the paved path meets up with the loop on the left. There is an existing trail on the right that leads to Lake Dam Rd. Follow the trail approximately 1/4 mile and start looking for the bright pink markers on your left. The trail winds through a wooded meadow and ends up on a gravel road. Follow the gravel road to the right and it will take you to Lake Dam Rd. Go left on Lake Dam to the entrance of the park. A trail will soon be marked to get from the gravel road to the main part of Lake Johnson so you wont have to go back out to Lake Dam Rd. The new trail is fun and will eventually provide Lake Johnson with a full Loop ride instead of an out and back route. ",2,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2014/02/mobile-1393084692-0.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,Arizona,United States,War Finance Trail #9,,27154,This connector trail is accessible from various routes including Honeymoon Campground and trails #33 and #27.,33.48159,-109.47494,,,War Finance Trail #9,1-9526,27154,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=9526,"""3""",null,"This trail is along, moderate slope that starts in the ponderosa pines and goes through oak woodlands onto Robinson Mesa, where you will see pinyon pines, juniper, and grass. source: fs.usda.gov",3,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raleigh,North Carolina,United States,Ligon mill,,22039,"On Ligon mill, between main an Burlington, trail begins just before the bridge, or come from the service road next to capital. New development. In back climb hill, cross over train tracks.",0,0,,,Ligon mill,1-6358,22039,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=6358,"""5""",null,Rugged an Hills.,5,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tongass/sitka,Alaska,United States,Redoubt Lake Cabin,,12386,"Accessible April through November.  Located 10 air miles south of Sitka, on south central Baranof Island. Access by floatplane takes 15 minutes. A shallow sandbar near the cabin can be difficult for planes to maneuver across.  Access by boat is recommended only in summer. Go to the head of Silver Bay, then hike 6 miles on the very difficult Salmon Lake-Redoubt Lake Trail.  Check trail conditions before going.  A difficult access by a very small, light skiff is also possible at the west end of the lake from Redoubt Bay (at the base of the falls) across 100-foot (30-meter) portage. However, please note that due to the length Redoubt Lake (approx. 10 mi/15 km), it can become very windy.  Please consult  local tide tables  before departing for the cabin. For geographic features surrounding cabin, refer to USGS topographic maps Port Alexander D-4 and Sitka A-4.",56.923889,-135.132778,,,Redoubt Lake Cabin,3-6803,12386,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=6803,"""3""",,"Redoubt Lake Cabin is located adjacent to the inlet stream to Reboubt Lake on Baranof Island, approximately 10 air miles southeast of Sitka, Alaska. The wooden A-frame cabin is generally available year round and makes an excellent base for experiencing and exploring this corner of Alaska.    This is a remote site. The cabin can be accessed the easiest by float plane via a 15-minute ride from Sitka. During the summer, the cabin can also be accessed by boat and the difficult 6-mile Salmon-Redoubt Lake Trail. The trail begins at the head of Silver Bay southeast of Sitka, passes near Salmon Lake Cabin and proceeds to Redoubt Lake, gaining steeply in elevation before dropping down to the cabin and lake.    Visitors are responsible for their own travel arrangements and safety, and must bring their own amenities.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/06/6803-1307310226-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany,New York,United States,Mohawk Hudson Hike Bike Trail,,2942,"Southern starting point is around the battleship USS Slater in Albany, NY and runs North along the Hudson River.&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;Northern starting point is on the Eastern most end of 4th St off Broadway in Watervliet, NY and runs South along the Hudson River.&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;&lt;br /&gt;On the Albany end, there are a couple of places to park along the trail and in Watervliet there is one small parking lot at the trail head.",42.64841,-73.74772,,,Mohawk Hudson Hike Bike Trail,1-5293,2942,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=5293,"""6""",null,"This trail is a scenic ride, jog, run, or walk through some great sceanery along the Hudson River.  Areas include the Corning Preserve, Albany's Riverfront Park, and a few other parks and areas.&lt;br /&gt;<br />&lt;br /&gt;<br />The trail itself is paved asphalt and maintained.  It is open and available year round.  This is another great family friendly trail with several spots to stop and have a picnic if you choose.",6,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pueblo,Colorado,United States,The Buttes,,25777,South Shore Lake Pueblo,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bend,Oregon,United States,Marvin's Gardens,,23812,Phil's,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
